2010,Q1,5578,,4450,3391,Q1 2010,2010 Q1
2010,Q2,5445,,3760,1861,Q2 2010,2010 Q2
2010,Q3,5334,2166,4399,1545,Q3 2010,2010 Q3
2010,Q4,8822,2792,4870,1477,Q4 2010,2010 Q4
2011,Q1,10468,4608,5430,3425,Q1 2011,2011 Q1
2011,Q2,12298,2836,4976,1600,Q2 2011,2011 Q2
2011,Q3,13311,6046,5105,1325,Q3 2011,2011 Q3
2011,Q4,10980,6868,6272,1103,Q4 2011,2011 Q4
2012,Q1,24417,9153,6598,2528,Q1 2012,2012 Q1
2012,Q2,22690,6590,5073,1207,Q2 2012,2012 Q2
2012,Q3,16245,9171,4933,1060,Q3 2012,2012 Q3
2012,Q4,17125,7510,6617,820,Q4 2012,2012 Q4
2013,Q1,30660,10674,5519,2143,Q1 2013,2013 Q1
2013,Q2,22955,8746,5447,962,Q2 2013,2013 Q2
2013,Q3,18154,6374,4893,733,Q3 2013,2013 Q3
2013,Q4,19510,6186,5624,573,Q4 2013,2013 Q4
2014,Q1,32498,11468,6395,973,Q1 2014,2014 Q1
2014,Q2,26064,7610,5519,461,Q2 2014,2014 Q2
2014,Q3,19751,5889,5540,442,Q3 2014,2014 Q3
2014,Q4,23678,5316,6625,410,Q4 2014,2014 Q4
2015,Q1,51182,8985,6944,,Q1 2015,2015 Q1
2015,Q2,40282,5428,5615,,Q2 2015,2015 Q2
2015,Q3,31368,4538,6030,,Q3 2015,2015 Q3
2015,Q4,32209,4276,6882,,Q4 2015,2015 Q4
2016,Q1,51635,7084,6746,,Q1 2016,2016 Q1
2016,Q2,32857,4413,5107,,Q2 2016,2016 Q2
2016,Q3,24048,4876,5239,,Q3 2016,2016 Q3
